time_stamp,snap_shot,State,Abbr,Cases,Range
2022-07-19,2022-07-20 17 23 15,Arizona,AZ,11,1 to 2
2022-07-19,2022-07-20 17 23 15,Arkansas,AR,1,1 to 2
2022-07-19,2022-07-20 17 23 15,California,CA,267,1 to 2
2022-07-19,2022-07-20 17 23 15,Colorado,CO,32,1 to 2
2022-07-19,2022-07-20 17 23 15,Connecticut,CT,13,1 to 2
2022-07-19,2022-07-20 17 23 15,Delaware,DE,1,1 to 2
2022-07-19,2022-07-20 17 23 15,District of Columbia,DC,126,1 to 2
2022-07-19,2022-07-20 17 23 15,Florida,FL,180,1 to 2
2022-07-19,2022-07-20 17 23 15,Georgia,GA,132,1 to 2
2022-07-19,2022-07-20 17 23 15,Hawaii,HI,8,1 to 2
2022-07-19,2022-07-20 17 23 15,Idaho,ID,1,1 to 2
2022-07-19,2022-07-20 17 23 15,Illinois,IL,200,1 to 2
2022-07-19,2022-07-20 17 23 15,Indiana,IN,11,1 to 2
2022-07-19,2022-07-20 17 23 15,Iowa,IA,4,1 to 2
2022-07-19,2022-07-20 17 23 15,Kansas,KS,1,1 to 2
2022-07-19,2022-07-20 17 23 15,Kentucky,KY,3,1 to 2
2022-07-19,2022-07-20 17 23 15,Louisiana,LA,13,1 to 2
2022-07-19,2022-07-20 17 23 15,Maryland,MD,48,1 to 2
2022-07-19,2022-07-20 17 23 15,Massachusetts,MA,53,1 to 2
2022-07-19,2022-07-20 17 23 15,Michigan,MI,17,1 to 2
2022-07-19,2022-07-20 17 23 15,Minnesota,MN,21,1 to 2
2022-07-19,2022-07-20 17 23 15,Missouri,MO,9,1 to 2
2022-07-19,2022-07-20 17 23 15,Nebraska,NE,2,1 to 2
2022-07-19,2022-07-20 17 23 15,Nevada,NV,6,1 to 2
2022-07-19,2022-07-20 17 23 15,New Hampshire,NH,1,1 to 2
2022-07-19,2022-07-20 17 23 15,New Jersey,NJ,41,1 to 2
2022-07-19,2022-07-20 17 23 15,New Mexico,NM,6,1 to 2
2022-07-19,2022-07-20 17 23 15,New York,NY,581,1 to 2
2022-07-19,2022-07-20 17 23 15,North Carolina,NC,13,1 to 2
2022-07-19,2022-07-20 17 23 15,Ohio,OH,7,1 to 2
2022-07-19,2022-07-20 17 23 15,Oklahoma,OK,5,1 to 2
2022-07-19,2022-07-20 17 23 15,Oregon,OR,9,1 to 2
2022-07-19,2022-07-20 17 23 15,Pennsylvania,PA,64,1 to 2
2022-07-19,2022-07-20 17 23 15,Puerto Rico,PR,6,1 to 2
2022-07-19,2022-07-20 17 23 15,Rhode Island,RI,7,1 to 2
2022-07-19,2022-07-20 17 23 15,South Carolina,SC,6,1 to 2
2022-07-19,2022-07-20 17 23 15,South Dakota,SD,1,1 to 2
2022-07-19,2022-07-20 17 23 15,Tennessee,TN,10,1 to 2
2022-07-19,2022-07-20 17 23 15,Texas,TX,81,1 to 2
2022-07-19,2022-07-20 17 23 15,Utah,UT,13,1 to 2
2022-07-19,2022-07-20 17 23 15,Virginia,VA,41,1 to 2
2022-07-19,2022-07-20 17 23 15,Washington,WA,44,1 to 2
2022-07-19,2022-07-20 17 23 15,West Virginia,WV,1,1 to 2
2022-07-19,2022-07-20 17 23 15,Wisconsin,WI,6,1 to 2
2022-07-19,2022-07-20 17 23 15,Non-US Resident,Non-US Resident,3,1 to 2
2022-07-15,2022-07-16 18 32 39,Alabama,AL,2,1 to 2
2022-07-15,2022-07-16 18 32 39,Arizona,AZ,11,1 to 2
2022-07-15,2022-07-16 18 32 39,Arkansas,AR,2,1 to 2
2022-07-15,2022-07-16 18 32 39,California,CA,266,1 to 2
2022-07-15,2022-07-16 18 32 39,Colorado,CO,20,1 to 2
2022-07-15,2022-07-16 18 32 39,Connecticut,CT,12,1 to 2
